C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Acorde
-4.305841,-36.761658,-16.675994,-37.543592,-12.392652,-21.318803,-39.476898,-9.462749,-31.572331,-36.165004,-34.675021,-24.669052,0.000000
-7.493343,-36.341160,-37.805814,-27.061499,-7.798386,-19.961547,-27.947517,-10.091626,-24.362169,-40.085133,-30.900657,-25.835407,0.000000
-8.698383,-36.888633,-13.209220,-29.830644,-11.412201,-14.546537,-27.606715,-5.682336,-19.262004,-31.130108,-28.233525,-20.475945,0.000000
-6.224677,-36.326533,-25.924144,-38.073277,-14.127261,-24.958037,-28.303904,-5.623548,-29.795983,-33.707776,-35.553508,-32.058755,0.000000
-5.035695,-36.436230,-24.112926,-30.279037,-14.279050,-18.875652,-22.566815,-7.148479,-24.472614,-32.751983,-37.437979,-27.730552,0.000000
-8.018459,-35.093479,-25.327480,-28.233753,-5.427722,-23.536726,-28.145830,-8.693581,-27.976266,-33.809740,-36.327894,-26.801196,0.000000
-6.196806,-34.271443,-18.885393,-26.997351,-9.796996,-17.609845,-20.252796,-9.202031,-24.960370,-32.680292,-36.797428,-20.411359,0.000000
-7.220135,-35.243361,-19.838884,-34.513735,-9.241254,-30.859341,-20.819624,-8.180854,-30.195105,-38.585763,-32.459616,-30.676575,0.000000
-7.945082,-34.678391,-18.339380,-31.386513,-9.261553,-30.596351,-18.234307,-6.841084,-25.424287,-35.912538,-27.594040,-30.137492,0.000000
-10.226429,-35.767452,-18.977004,-35.750785,-8.436863,-30.672796,-18.704525,-8.167618,-9.475953,-34.432117,-30.559880,-23.637957,0.000000
-10.109256,-37.614237,-18.559185,-29.027303,-6.966259,-29.099524,-28.618705,-9.763997,-22.767141,-35.156009,-32.541670,-29.307472,0.000000
-11.024318,-35.015854,-19.317613,-29.813998,-7.653619,-30.367742,-23.609936,-6.498562,-24.519819,-32.102467,-33.772970,-28.168925,0.000000
-9.409595,-37.271396,-17.751735,-33.353092,-7.630439,-29.770269,-21.148055,-7.597593,-17.881800,-38.888096,-32.902852,-18.880445,0.000000
-9.665953,-34.321514,-11.733527,-36.472328,-8.850242,-26.595405,-21.332479,-8.664295,-31.181587,-36.574252,-19.245755,-25.735650,0.000000
-10.792012,-34.797330,-12.329482,-37.817424,-7.320097,-29.004213,-21.631254,-8.118067,-18.814079,-39.991547,-22.422981,-25.146188,0.000000
-8.760194,-30.819275,-19.362167,-41.204273,-9.947665,-22.018779,-19.870572,-5.856030,-28.349828,-37.684478,-31.970473,-31.399594,0.000000
-9.037147,-32.352536,-16.443771,-34.725694,-11.949868,-23.161880,-15.011870,-5.881119,-16.398063,-32.765200,-33.182894,-30.327773,0.000000
-10.022021,-33.389278,-20.380551,-29.732058,-8.970734,-20.586956,-16.604319,-8.290772,-24.209887,-35.266453,-30.678860,-27.314133,0.000000
-10.464334,-35.473822,-26.261824,-34.382635,-6.816880,-22.347834,-17.505091,-4.786365,-20.749929,-30.221595,-35.424069,-24.958827,0.000000
-11.226263,-31.893387,-19.830386,-32.645212,-9.324504,-20.783605,-16.441289,-8.503343,-23.663696,-28.298777,-34.857294,-30.199450,0.000000
-9.238917,-28.909208,-11.398453,-44.438068,-32.290359,-39.612173,-27.118137,-6.220450,-39.495286,-26.704739,-17.489305,-25.971689,0.000000
-7.122145,-34.116524,-11.646828,-27.089554,-15.055680,-36.477801,-21.738764,-9.149143,-23.686958,-32.744288,-24.342159,-21.459156,0.000000
-8.295157,-36.933968,-18.457739,-36.813873,-7.067844,-33.989031,-19.453511,-8.449868,-20.854993,-40.268679,-25.523668,-23.931218,0.000000
-9.227109,-29.422937,-22.403010,-28.741555,-7.858662,-23.099986,-13.145514,-7.522656,-17.306907,-38.426523,-36.680037,-30.277164,0.000000
-5.418017,-34.268302,-11.085887,-37.005617,-32.441374,-33.432061,-24.458931,-8.466753,-32.870757,-29.934936,-29.635791,-30.180858,0.000000
