C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Acorde
-3.0,-40.4,-19.9,-30.0,-8.3,-30.7,-31.7,-14.4,-36.1,-29.9,-36.3,-26.0,1.0
-3.1,-39.3,-20.5,-35.0,-6.0,-31.9,-32.5,-16.7,-35.0,-33.9,-37.0,-24.1,1.0
-3.1,-37.1,-25.1,-35.8,-5.8,-29.8,-29.6,-17.5,-37.2,-30.8,-34.5,-25.6,1.0
-5.5,-37.2,-25.0,-30.9,-4.0,-31.3,-31.0,-15.4,-35.2,-35.2,-34.1,-21.1,1.0
-3.0,-38.0,-24.1,-32.4,-6.5,-31.9,-31.8,-17.4,-37.2,-27.4,-39.0,-21.8,1.0
-12.9,-40.9,-24.1,-31.6,-2.3,-32.2,-27.9,-13.7,-31.3,-31.2,-29.2,-21.7,1.0
-5.5,-44.5,-24.3,-31.7,-4.0,-32.4,-30.4,-14.0,-33.1,-30.9,-41.3,-22.2,1.0
-3.5,-39.2,-33.7,-36.8,-4.8,-36.1,-33.2,-16.0,-34.7,-30.8,-33.7,-25.3,1.0
-18.4,-39.3,-26.0,-29.6,-2.7,-31.9,-27.4,-12.8,-31.4,-33.1,-26.9,-18.6,1.0
-3.7,-37.5,-26.7,-33.4,-5.6,-26.5,-31.7,-17.9,-32.2,-32.1,-34.6,-22.8,1.0
-2.6,-39.5,-26.3,-35.8,-5.8,-30.3,-31.8,-17.3,-37.9,-25.8,-33.7,-20.8,1.0
-2.5,-37.9,-24.9,-36.7,-6.7,-30.7,-30.6,-17.5,-31.2,-25.9,-34.8,-21.4,1.0
-3.3,-42.0,-21.6,-39.1,-6.7,-25.6,-34.1,-17.7,-31.8,-26.8,-32.3,-22.0,1.0
-3.2,-38.5,-24.3,-37.1,-5.5,-30.8,-23.5,-18.5,-39.9,-23.3,-35.6,-21.7,1.0
-2.6,-40.5,-30.3,-33.9,-6.2,-29.3,-37.1,-18.1,-29.1,-28.8,-33.0,-20.0,1.0
-4.2,-42.3,-21.7,-36.1,-5.0,-32.6,-33.4,-16.5,-28.0,-22.2,-32.9,-19.5,1.0
-2.9,-39.9,-21.9,-36.5,-6.2,-31.4,-31.8,-16.7,-34.0,-30.2,-37.6,-24.2,1.0
-2.9,-41.7,-23.1,-37.5,-6.5,-31.6,-36.6,-18.3,-36.6,-29.4,-35.6,-25.2,1.0
-3.0,-38.0,-20.6,-37.3,-6.8,-34.9,-31.9,-17.1,-35.3,-26.0,-35.2,-20.0,1.0
-3.6,-39.7,-22.2,-37.2,-5.2,-33.5,-38.2,-17.3,-33.5,-36.7,-38.4,-22.8,1.0
-3.0,-39.4,-24.4,-34.7,-7.5,-33.4,-31.5,-16.7,-29.5,-27.3,-33.5,-27.3,1.0
-3.5,-38.9,-25.2,-38.3,-6.6,-37.3,-35.8,-17.2,-25.1,-34.1,-35.9,-21.8,1.0
-4.8,-38.7,-20.0,-33.3,-5.0,-31.9,-30.1,-16.0,-32.6,-32.0,-30.0,-24.5,1.0
-2.8,-39.6,-23.5,-38.0,-6.9,-36.4,-34.3,-16.9,-34.0,-28.7,-35.7,-30.5,1.0
-2.8,-36.5,-24.9,-36.1,-5.5,-33.0,-32.8,-16.5,-33.3,-26.8,-34.7,-26.5,1.0
-3.2,-37.2,-25.7,-41.0,-5.6,-32.8,-32.9,-17.0,-30.6,-30.2,-34.9,-23.6,1.0
-3.8,-38.2,-27.2,-40.8,-7.0,-31.4,-33.9,-19.9,-33.1,-28.7,-38.0,-29.5,1.0
-3.5,-40.1,-23.7,-34.6,-5.8,-34.0,-34.4,-18.4,-30.9,-23.4,-32.4,-27.5,1.0
-3.8,-38.2,-24.7,-35.8,-5.2,-28.8,-33.3,-18.5,-29.7,-29.5,-34.2,-25.1,1.0
-4.5,-41.7,-20.2,-33.2,-7.1,-29.1,-31.0,-14.8,-26.5,-22.5,-31.0,-24.8,1.0
-3.1,-36.1,-19.8,-32.6,-8.8,-32.9,-37.8,-14.5,-26.6,-25.3,-32.7,-25.7,1.0
-8.2,-42.9,-23.5,-36.6,-4.6,-31.9,-23.6,-18.9,-26.2,-30.0,-32.5,-20.8,1.0
-4.7,-40.2,-26.7,-37.5,-5.2,-32.9,-29.6,-16.9,-28.3,-29.4,-34.2,-27.4,1.0
-4.9,-42.3,-26.2,-38.1,-4.9,-30.3,-27.5,-14.9,-28.9,-29.5,-29.1,-21.6,1.0
-13.5,-42.7,-20.6,-29.0,-3.1,-33.4,-29.6,-12.8,-35.6,-33.9,-35.1,-23.5,1.0
-4.6,-41.2,-28.3,-36.9,-4.4,-33.8,-31.4,-15.2,-33.6,-29.1,-37.8,-25.2,1.0
-3.7,-40.2,-26.3,-35.7,-6.6,-36.9,-31.4,-16.8,-34.5,-36.8,-39.9,-26.2,1.0
-4.8,-39.4,-26.2,-35.5,-5.3,-35.3,-30.9,-15.3,-34.2,-30.5,-37.6,-26.7,1.0
